usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
BET AUR,000-BBK-495,,5,59,31.7,44,56,51,A2IV+A2IV-V,1.9,0.03,HD 38104,5,45,54.0,49,49,35,5.47,0.029,HD 43905,6,21,46.1,53,27,8,5.36,0.001
PI AUR,000-BBK-506,0552+45,5,59,56.0994,45,56,12.248,M3II,4.299,1.699,HR 2096,6,0,18.8991,44,35,31.246,6.2,1.15,HR 2105,6,1,43.059,48,57,34.002,5.964,0.549
SW PIC,000-BCZ-364,0600-60,6,2,9.3358,-60,5,48.59,M4III,6.44,1.58,HR 2102,5,54,6.0549,-63,5,22.658,4.645,1.05,HR 2104,5,54,11.9371,-64,28,56.08,6.616,0.53
KHI 2 ORI,000-BBK-642,,6,3,55.2,20,8,18,B2Iavar,4.627,0.275,HD 43042,6,14,50.9,19,9,23,5.195,0.448,HD 42954,6,14,28.6,17,54,23,5.884,-0.173
1 GEM,000-BBK-649,0558+23,6,4,7.2,23,15,48,G5III+F6IV,4.158,0.827,HD 38751,5,49,1,24,34,3,4.877,1.019,HD 43039,6,15,22.7,29,29,53,4.338,-0.192
SS LEP,000-BBK-679,0600-16,6,4,59.1292,-16,29,3.965,Apsh,4.923,0.234,SAO 151178,6,9,34.5243,-14,35,4.627,5.552,1.155,SAO 151052,6,2,33.8123,-14,29,49.766,6.197,-0.921
PU GEM,000-BBK-755,0603+23,6,9,44.0,23,6,49,B2.5Ib,5.734,0.205,HD 43042,6,14,50.9,19,9,23,5.195,0.448,HD 42954,6,14,28.6,17,54,23,5.884,-0.243
ETA GEM,000-BBK-904,0608+22,6,14,52.7,22,30,25,M3IIIab,3.283,1.586,HD 43039,6,15,22.7,29,29,53,4.338,1.019,HD 38751,5,49,1,24,34,3,4.877,0.567
NSV 2877,000-BBK-937,,6,15,22.7,29,29,53,G8.5IIIb,4.338,1.019,HD 40111,5,58,0,25,57,14,4.823,-0.06,HD 42471,6,12,20.1,32,41,36,5.776,1.079
UW LYN,000-BCZ-389,0608+61,6,17,54.8202,61,30,55.031,M3III,4.95,1.83,HR 2201,6,15,40.5411,59,59,56.312,5.35,1.34,HR 2152,6,9,59.0145,58,56,8.499,5.358,0.49
NSV 2912,000-BBL-034,0614-14,6,18,48.7909,-15,1,29.833,M1III:,6.054,1.659,HR 2303,6,23,46.1431,-15,4,16.525,6.24,1.53,HR 2305,6,24,10.3201,-11,31,48.316,5.219,0.129
MIU GEM,000-BBL-132,0616+22,6,22,57.6,22,30,49,M3III,2.874,1.643,HD 43039,6,15,22.7,29,29,53,4.338,1.019,HD 38751,5,49,1,24,34,3,4.877,0.624
PSI 1 AUR,000-BBL-224,,06,24,53.9,49,17,16,K5-M0Iab-Ib,4.875,1.956,HD 45466,06,30,03.0,46,41,08,5.900,1.438,HD 48781,06,47,39.6,48,47,22,5.212,0.518
RR LYN, 000-BBL-318,0618+56,6,26,25.8,56,17,6,A7Vm+F3V,5.638,0.238, HD 43905,6,21,46.1,53,27,8,5.36,0.43,HD 46590,6,37,38.4,56,51,27,5.89,-0.192
IS GEM,000-BBL-953,0643+32,6,49,41.311,32,36,24.321,K4III,5.717,1.297,SAO 59574,6,53,3.5392,35,47,16.782,6.008,1.455,SAO 59631,6,57,0.5195,33,40,51.739,5.909,-0.158
OMI 1 CMA,000-BDH-991,,06,54,08.0,-24,11,03,K2Iab,3.89,1.74,HD 57146,07,18,51.3,-26,35,09,5.294,0.969,HD 51733,06,57,33.9,-24,37,51,5.448,0.771
V614 MON,000-BBM-252,0656-03,7,1,1.9531,-3,15,9.14,C...,7.265,1.769,SAO 134133,7,4,5.2481,-5,19,26.324,5.611,1.292,SAO 134031,7,0,18.0363,-5,22,1.783,6.294,0.477
SIG CMA,000-BBM-279,0657-27,7,1,43.1,-27,56,5,K7Ib,3.47,1.73,HD 57146,7,18,51.3,-26,35,9,5.294,0.969,HD 51733,6,57,33.9,-24,37,51,5.488,0.761
BQ GEM,000-BCV-939,0707+16,7,13,22.2759,16,9,32.278,M4III,5.05,1.655,HR 2632,7,2,17.4933,15,20,9.629,5.75,1.16,HR 2684,7,8,22.0393,15,55,50.429,5.457,0.495
UY LYN,000-BBM-730,0705+51,7,13,23.4011,51,25,43.483,M3III,5.485,1.642,HR 2737,7,17,33.7197,52,7,51.857,5.922,1.256,HR 2804,7,24,57.0877,51,53,14.131,5.799,0.386
EW CMA,000-BBM-740,0710-26B,7,14,15.2121,-26,21,9.024,B3IIIe,4.638,-0.175,SAO 173411,7,17,48.0124,-26,47,51.201,6.433,-0.144,SAO 173244,7,13,36.4493,-27,21,22.896,6.114,-0.031
NSV 3469,000-BCZ-534,0708+25,7,14,41.9799,24,53,5.944,M1III,5.808,1.556,HR 2808,7,23,28.5113,25,3,1.913,5.035,0.899,HR 2706,7,12,26.3778,24,7,42.937,5.851,0.657
OME CMA,000-BBM-767,0710-26A,7,14,48.6541,-26,46,21.603,B2IV-Ve,3.831,-0.153,SAO 173047,7,8,23.4843,-26,23,35.519,1.83,0.678,SAO 172676,6,58,37.5485,-28,58,19.501,1.502,-0.831
NSV 3486,000-BCX-765,0710+08,7,15,39.4301,7,58,39.873,M4III,5.814,1.593,HR 2682,7,7,49.4889,7,28,16.37,5.743,1.177,HR 2713,7,12,7.4923,5,28,27.648,6.153,0.416
NSV 3485,000-BCZ-537,0709+28,7,15,57.1661,27,53,50.708,M1III,5.715,1.61,HR 2808,7,23,28.5113,25,3,1.913,5.035,0.899,HR 2643,7,3,30.4587,29,20,13.491,5.928,0.711
RU CAM,000-BBM-942,0710+69,7,21,44.1161,69,40,14.706,Ce+...,8.4,1.255,SAO 6167,7,23,2.7161,70,0,0.355,9.06,1.092,SAO 14183,7,25,46.8201,69,27,17.565,8.889,0.163
NSV 3550,000-BCX-771,0716+20,7,21,56.8607,20,26,37.17,M0III,5.094,1.526,HR 2846,7,27,44.3634,21,26,42.891,5.25,0.42,HR2692,7,10,6.6788,21,14,49.147,6.427,1.106
U MON,000-BBN-215,0726-09,7,30,47.4681,-9,46,36.803,K0Ibpv,5.66,0.93,SAO 152986,7,30,58.7103,-10,6,27.091,6.574,1.622,SAO 152941,7,29,22.1067,-10,19,35.989,5.746,-0.692
VZ CAM,000-BBN-226,0710+82,7,31,4.4639,82,24,41.277,M4IIIa,4.9,1.64,SAO 1194,7,34,39.8053,80,53,48.11,6.51,0.98,SAO 1254,7,56,17.2303,80,15,55.953,6.553,0.66
KQ PUP,000-BCW-902,0729-14,07,33,48.0,-14,31,26,M2epIab+B2V,4.97,1.41, HD 57478, 07,20,58.3,-14,21,38,5.450,0.980,HD 63336,07,47,56.7,-12,11,34,5.480,0.430
UPS GEM,000-BBN-350,0729+27,7,35,55.3464,26,53,44.667,M0III,4.058,1.539,HR 2985,7,44,26.8542,24,23,52.773,3.568,0.932,HR 2808,7,23,28.5113,25,3,1.913,5.035,0.607
SIG GEM,000-BCV-976,0737+29,7,43,18.7,28,53,1,K1IIIe,4.256,1.118,HD 58207,7,25,43.6,27,47,53,3.790,1.030,HD 60522,7,35,55.4,26,53,45,4.060,0.088
NZ GEM,000-BBN-569,0736+14,7,42,3.2185,14,12,30.612,M3II-III,5.554,1.647,HR 2953,7,40,47.1845,13,46,16.502,6.21,1.4,HR 3030,7,49,1.837,13,22,18.728,6.037,0.247
BET GEM,000-BBN-674,0739+28,7,45,18.9503,28,1,34.315,K0IIIb,1.143,0.997,SAO 60198,7,34,35.8628,31,53,17.795,1.884,-0.268,SAO 115756,7,39,18.1183,5,13,29.975,0.367,1.265
DU LYN,000-BCZ-621,0740+37,7,46,39.2815,37,31,2.619,M3III,6.419,1.749,HR 2924,7,38,32.8625,35,2,54.781,5.556,0.932,HR 2930,7,39,9.9309,34,35,3.646,4.9,0.817
NSV 3741,000-BCZ-630,0743-15B,7,47,45.2079,-16,0,52.139,K5II/III,6.419,1.749,HR 3044,7,49,41.2013,-17,13,42.268,5.18,1.275,HR 3051,7,50,5.6693,-19,31,24.773,6.12,0.474
BC CMI,000-BCV-064,0746+03,7,52,7.1897,3,16,38.43,M4III,6.31,1.586,HR 3093,7,56,23.9073,4,29,8.04,6.16,0.979,HR 3050,7,50,47.3951,3,16,38.111,6.175,0.607
MZ PUP,000-BCW-903,0800-32,8,4,16.2,-32,40,29,M1Iab-Ib,5.383,1.906,HD 64572,7,53,3.5,-36,21,5,5.422,1.164,HD 69123,8,14,13.3,-35,29,24,5.778,0.742
BL CNC,000-BCT-992,0800+22,8,6,18.3948,22,38,7.763,M3III,5.98,1.652,HR 3176,8,7,45.8557,21,34,54.537,5.296,0.638,HR 3127,8,1,0.781,23,34,59.135,6.31,1.014
NSV 17814,000-BCZ-673,0810+62,8,19,17.1578,62,30,25.774,G8III,5.714,0.889,HR 3648,9,14,20.5406,61,25,23.943,5.169,0.578,HR 3403,8,40,12.8186,64,19,40.57,4.6,0.311
BP CNC,000-BCT-994,0821+13,8,26,43.9395,12,39,16.604,M3III,5.517,1.609,HR 3376,8,33,45.0453,13,15,26.321,6.28,1.17,HR 3231,8,14,20.9947,13,2,53.864,6.356,0.439
NSV 4093,000-BCZ-692,0822+61,8,30,15.87,60,43,5.409,G5III,3.365,0.844,HR 3648,9,14,20.5406,61,25,23.943,5.169,0.578,HR 3403,8,40,12.8186,64,19,40.57,4.6,0.266
AK HYA,000-BBP-841,0835-16,8,39,53.5419,-17,18,10.721,M6III,6.673,1.545,SAO 154628,8,46,45.5493,-18,45,28.211,6.589,1.036,SAO 154373,8,32,33.3603,-15,1,48.516,6.375,0.509
PI 2 UMA,000-BCZ-712,0831+64,8,40,12.8186,64,19,40.57,K1III,4.6,1.178,HR 3648,9,14,20.5406,61,25,23.943,5.169,0.578,HR 3403,8,40,12.8186,64,19,40.57,4.6,0.6
BO CNC,000-BCT-993,0846+28,8,52,28.5887,28,15,32.972,M3III,6.229,1.608,HR 3522,8,52,35.8112,28,19,50.947,5.942,0.86,HR 3540,8,55,39.6789,27,55,38.934,5.237,0.748
X CNC,000-BBQ-052,0849+17,8,55,22.8809,17,13,52.593,CII...,6.647,3.365,SAO 98245,8,57,8.2794,17,8,37.503,6.171,1.001,SAO 98087,8,44,41.0996,18,9,15.511,3.937,2.364
FZ CNC,000-BBQ-151,0853+18,8,59,10.7295,18,8,5.52,M4IIIv,6.378,1.548,HR 3558,8,57,8.2794,17,8,37.503,6.171,1.001,HR3510,8,51,1.4611,15,21,2.343,6.378,0.547
RHO UMA,000-BCZ-751,0853+68,9,2,32.6921,67,37,46.628,M3III,4.753,1.54,HR 3609,9,8,23.499,66,52,23.645,5.139,1.51,HR3531,8,56,37.442,64,36,13.793,5.589,0.03
LAM VEL,000-BFP-455,,9,8,0,-43,25,57,K4Ib-IIa,2.204,1.665,HD 80170,9,16,57.1,-39,24,6,5.319,1.168,HD 83548,9,38,1.5,-43,11,27,5.496,0.497
RS CNC,000-BBQ-327,0904+31,9,10,38.799,30,57,47.3,M6IIIase,5.9,1.625,SAO 61276,9,8,4.156,32,32,25.436,6.485,0.36,SAO 61288,9,8,51.0705,33,52,55.981,5.964,1.265
NSV 4429,000-BCX-791,0911-55,9,14,17.9907,-55,34,10.666,G8II-III,5.267,0.987,HR 3791,9,33,30.3629,36,29,13.018,6.178,1.264,HR 3800,9,34,13.3819,36,23,51.208,4.554,-0.277
