usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
FS COM,000-BBT-465,1301+23,13,6,22.603,22,36,58.273,M5III:,5.606,1.587,SAO 82650,13,6,21.2399,21,9,12.229,6.018,0.376,SAO 82708,13,12,8.4093,24,15,28.899,6.313,1.211
ALF COM,000-BLK-312,1305+18,13,9,59.28,17,31,46,F5V+F5V,4.318,0.454,SAO 82650,13,6,21.24,21,9,12.23,5.99,0.39,SAO 82692,13,10,52.353,21,14,1.48,6.82,0.064
SW VIR,000-BBT-518,1308-02,13,14,4.385,-2,48,25.149,M7III,7.02,1.55,SAO 139218,13,12,43.786,-2,15,54.143,7.56,0.922,SAO 139264,13,17,29.8532,0,40,33.833,6.365,0.628
FH VIR,000-BBT-532,1311+07,13,16,23.9299,6,30,16.623,M6III,7.15,1.6,SAO 119882,13,19,56.9785,8,29,13.673,7.08,1.13,SAO 119789,13,8,51.0232,5,12,26.068,6.798,0.47
CL CVN,000-BDB-191,1319+37,13,23,53.9297,37,2,2.114,M4III,6.128,1.651,HR 5022,13,18,27.728,34,5,53.893,5.8,1.356,HR 5025,13,19,4.2514,35,7,40.721,6.02,0.295
FP VIR,000-BBT-783,1330+08,13,35,52.0579,8,17,34.014,M3,7.1,1.62,SAO 120075,13,42,12.7603,8,23,18.219,6.159,0.41,SAO 119962,13,30,0.0809,7,10,43.872,6.165,1.21
NSV 6434,000-BKS-942,,13,46,39.4,-51,25,58,G8/K0III,4.642,0.955,HD 117150,13,29,25.3,-51,9,54,5.052,0.062,HD 125288,14,20,19.5,-56,23,11,4.336,0.893
EV VIR,000-BBV-252,1407-13,14,13,9.7753,-13,51,35.764,M3III,6.886,1.574,SAO 158439,14,13,42.9866,-11,50,18.191,6.983,1.016,SAO 158416,14,11,46.1709,-12,36,42.358,7.928,0.558
FS VIR,000-BCX-524,1409+03,14,14,53.0187,3,20,9.16,M4III,6.442,1.605,HR 5283,14,4,37.4271,2,17,51.113,6.275,1.02,HR 5307,14,11,31.2032,1,21,44.635,6.429,0.585
CY BOO,000-BDB-292,1412+15,14,17,28.4519,15,15,48.167,M3III,5.814,1.678,HR 5254,13,58,39.9073,14,38,57.389,6.008,1.425,HR 5243,13,55,49.9935,14,3,23.411,6.17,0.253
CI BOO,000-BCT-918,1417+29,14,22,14.0013,29,22,11.712,MIII,6.6,1.6,HD 126307,14,24,1.981,27,24,47.438,6.38,1.61,HD 125408,14,18,33.7662,28,26,21.766,7.645,-0.01
NSV 6687,000-BBV-426,1427+76,14,27,31.5,75,41,46,K4III,4.275,1.434,HD 136726,15,17,5.9,71,49,26,5.013,1.369,HD 142105,15,44,48,77,56,57,4.314,0.065
W BOO,000-BBV-632,1439+26,14,43,25.3632,26,31,40.261,M3III,4.808,1.662,SAO 83427,14,36,6.873,23,15,1.29,6.374,1.054,SAO 83535,14,48,23.3445,24,22,0.754,6.155,0.608
RR UMI,000-BCX-442,1456+66,14,57,35.0072,65,55,56.857,M4.5III,4.594,1.591,HR 5691,15,14,38.3389,67,20,48.201,5.137,0.533,HR 5714,15,17,5.8886,71,49,26.044,5.015,1.058
TAU 4 SER,000-BBW-373,1531+15,15,36,28.1873,15,6,5.128,M5II-III,6.523,1.456,SAO 101678,15,40,59.1008,16,1,28.517,6.008,0.902,SAO 101631,15,35,33.2302,17,39,19.999,6.121,0.554
NSV 7012,000-BCX-859,1511-29,15,17,49.8,-30,8,55,K1II/III,4.336,1.1,HD 139521,15,39,46.0,-34,24,43,4.664,0.989,HD 135153,15,14,37.3,-31,31,9,4.904,0.111
ST HER,000-BBW-616,1547+48,15,50,46.6248,48,28,58.856,M6s,7.715,1.409,SAO 45726,15,46,53.8133,46,59,10.542,7.21,0.77,SAO 45723,15,46,51.696,46,17,48.445,7.839,0.639
T CRB,000-BBW-825,1555+26,15,59,30.2,25,55,13,M3III,3.0,0,HD 143894,16,2,17.7,22,48,16,4.830,0.07,HD 143107,15,57,35.3,26,52,40,4.15,-0.07 
NSV 20485,000-BBW-923,,16,3,24.2,-38,36,9,B8IV,4.890,-0.141,HD 149886,16,39,5.2,-37,13,2,5.926,-0.027,HD 143118,16,6,35.5,-36,48,8,3.408,-0.114
NSV 7454,000-BBX-031,1601-20,16,7,24.3,-20,52,8,G4II/III,4.316,0.838,HD 142198,15,53,49.5,-16,43,45,4.139,1.016,HD 147700,16,24,6.2,-20,2,14,4.488,-0.178
V368 NOR,000-BDB-508,1608-53B,16,16,43.2783,-53,48,39.993,M2III,5.46,1.717,HR 6073,16,20,25.2506,-55,8,22.942,5.77,0.97,HR 6024,16,13,28.7289,-54,37,49.683,4.947,0.747
AT DRA,000-BBX-257,1615+60,16,17,15.3465,59,45,18.084,M4III,5.442,1.598,SAO 17073,16,23,47.1535,61,41,47.261,5.674,0.956,SAO 29975,16,31,20.0777,57,50,20.547,7.72,0.642
NSV 7676,000-BDB-528,1618+34B,16,22,21.4253,33,47,56.586,M2III,5.2,1.6,HR 6108,16,22,29.2187,33,42,12.522,5.4,1.525,HR 6043,16,11,39.5995,33,20,33.951,6.292,0.075
V2105 OPH,000-BBX-525,1622-07,16,27,43.46,-7,35,51.2,M3III,5.27,1.72,SAO 141187,16,27,48.18,-8,22,18.2,4.632,0.174,SAO 141066,16,15,37.33,-8,22,11.9,5.505,1.546
ALF SCO,000-BBX-552,1623-26,16,29,24.4609,-26,25,55.209,M1.5Iab-b,0.983,1.826,HR 6104,16,24,6.2,-20,2,15,4.5,1.01,HD 144608,16,7,24.3,-20,52,7,4.316,0.816
V1058 SCO,000-BFL-258,,16,31,41.8,-41,49,2,B1Ia,5.323,0.347,HD 143699,16,3,24.2,-38,36,9,4.890,-0.141,HD 149886,16,39,5.2,-37,13,2,5.926,0.488
NSV 7896,000-BBX-845,1636+49,16,38,44.8453,48,55,42.033,M2.5III,4.9,1.559,HR 6090,16,19,11.2135,49,2,17.373,5.91,1.369,HR 6183,16,36,11.2024,46,36,47.999,5.83,0.19
AZ DRA,000-BBX-864,1642+72,16,40,42.5217,72,40,17.972,M2,7.006,1.58,SAO 8544,16,31,28.2282,72,36,44.418,6.298,1.316,SAO 17200,16,42,38.5773,68,6,7.809,7.559,0.264
V973 SCO,000-BBY-044,1644-41,16,51,33.7,-41,13,50,O8Iaf,5.226,0.068,HD 155203,17,12,9.2,-43,14,21,3.328,0.405,HD 157661,17,26,52.0,-45,50,35,5.278,-0.337
NSV 8034,000-BBY-127,,16,54,0.5,10,9,55,B8,4.373,-0.089,HD 154494,17,5,22.7,12,44,27,4.9,0.125,HD 151525,16,47,46.4,5,14,48,5.233,-0.214
KAP OPH,000-BBY-235,1652+09,16,57,40.1,9,22,30,K2III,3.197,1.161,HD 154494,17,5,22.7,12,44,27,4.9,0.125,HD 151525,16,47,46.4,5,14,48,5.233,1.036
V884 SCO,000-BCX-158,,17,3,56.8,-37,50,39,O5.5-O6.5Iaf,6.547,0.264,SAO 208340,17,3,0.34,-37,43,10.75,7.43,0.02,SAO 208406,17,6,20.19,-37,13,39.3,5.98,0.244
VW DRA,000-BBY-765,1715+60,17,16,29.3994,60,40,14.212,K1.5IIIb,6.319,1.094,SAO 17360,17,8,7.5341,61,9,34.63,6.72,0.5,SAO 17312,17,1,16.924,60,38,55.515,6.128,0.594
NSV 8556,000-BBY-830,1717+46,17,20,21.1218,46,14,26.808,M0III,5.58,1.57,HR 6467,17,20,33.7765,48,11,19.647,6.411,0.407,HR 6509,17,26,44.2425,48,15,36.233,5.846,1.163
V642 HER,000-BCW-033,1729+14,17,33,42.7798,14,50,29.754,M4III,6.45,1.6,HR 6542,17,33,39.3885,16,19,3.192,5.69,1.01,HR 6577,17,38,57.8553,13,19,45.342,6.116,0.59
V449 SCO,000-BBZ-194,1730-32,17,36,58.6351,-32,7,42.989,A2V,7.027,0.121,SAO 208945,17,33,6.0167,-33,3,28.035,7.26,0.17,SAO 208881,17,30,5.6388,-33,42,58.918,6.668,-0.049
BM SCO,000-BBZ-237,1734-32,17,40,58.6,-32,12,52,K2.5Ib,5.36,1.6,HD 162391,17,52,19.8,-34,25,1,5.84,1.13,HD 162587,17,53,23.5,-34,53,43,5.6,0.47
NSV 9800,000-BBZ-551,1747+01,17,52,35.4441,1,18,18.049,K5III,5.954,1.571,SAO 141913,17,51,59.446,-1,14,12.5,6.34,1.12,SAO 122787,17,49,19.0434,1,57,41.089,6.463,0.451
V533 OPH,000-BBZ-578,1747-02,17,53,3.3177,-2,34,45.653,M...,7.451,1.565,SAO 141913,17,51,59.446,-1,14,12.5,6.34,1.12,SAO 141979,17,56,47.745,-4,4,54.564,5.46,0.445
V2388 OPH,000-BDB-718,1749+11,17,54,14.1671,11,7,50.009,F5Vn,6.385,0.455,HD 166095,18,8,33.7358,14,17,4.978,6.359,0.179,HD 164615,18,1,33.2027,11,17,8.726,7.014,0.276
V441 HER,000-BBZ-706,1751+26,17,55,25.1889,26,2,59.966,F2Ibe,5.452,0.339,SAO 85437,17,48,49.1467,25,37,22.327,5.108,1.152,SAO 85575,17,57,14.3257,23,59,45.201,6.301,-0.813
V2048 OPH,000-BBZ-938,1755+04,18,0,15.7986,4,22,7.015,B2Ve,4.658,-0.034,SAO 123017,18,0,52.8589,6,16,5.86,6.342,-0.084,SAO 122949,17,56,55.9761,6,29,15.828,6.285,0.05
V2118 OPH,000-BDB-746,1756+11,18,1,33.2027,11,17,8.726,F2IV-V,7.014,0.367,HD 166095,18,8,33.7358,14,17,4.978,6.359,0.179,HD 166976,18,12,35.6903,12,23,36.914,7.551,0.188
GAM SGR,000-BCB-233,,18,5,48.7,-30,25,18,K0,2.985,1.001,HD 168454,18,20,59.6,-29,49,41,2.7,1.376,HD 165634,18,8,5.0,-28,27,26,4.562,-0.375
V669 HER,000-BCB-583,1808+31B,18,11,54.157,31,24,19.259,M3III,4.995,1.644,HR 6768,18,5,49.6111,32,13,50.425,5.71,1.16,HR 6775,18,7,1.5392,30,33,43.702,5.047,0.484
KAP LYR,000-BDB-799,1811+36B,18,19,51.7095,36,3,52.371,K2III,4.332,1.164,HR 6901,18,23,57.2803,38,44,21.156,6.37,1.44,HR 6807,18,9,58.9958,36,27,58.622,5.574,-0.276
V4028 SGR,000-BCC-114,1815-25,18,21,31.367,-24,54,54.995,M3III,6.244,1.889,HR 6846,18,18,41.7597,-25,36,17.245,6.52,1.345,HR 6801,18,11,43.333,-23,42,4.447,4.978,0.544
NSV 24420,000-BDB-841,1819+49,18,21,32.6632,49,7,17.737,M2III,5.015,1.628,HR 6886,18,21,7.1475,49,43,31.676,6.398,1.068,HR 6880,18,19,56.0616,51,20,52.162,6.29,0.56
V2291 OPH,000-BCC-304,1820+07,18,25,38.7989,8,1,55.223,G8III-IV+...,5.643,0.914,SAO 123353,18,19,9.5366,7,15,35.16,5.396,1.077,SAO 123399,18,22,18.0274,7,32,56.147,7.199,-0.163
D SER,000-BCC-357,1822+00,18,27,12.5084,0,11,45.99,G0III+...,5.215,0.49,SAO 142348,18,29,40.9798,-1,59,7.108,5.403,0.962,SAO 142372,18,31,56.9944,-1,0,10.719,5.936,-0.472
AC HER,000-BCC-490,1826+21,18,30,16.2381,21,52,0.621,F4Ibpv,7.235,0.735,SAO 86145,18,30,58.9819,21,39,16.694,7.405,1.069,SAO 86106,18,29,17.0319,21,48,52.912,8.858,-0.334
XY LYR,000-BCC-857,1834+39,18,38,6.4769,39,40,5.975,M4Iab:,6.052,1.635,HR 7017,18,39,33.0369,40,56,6.214,6.25,-0.06,HR 7019,18,40,12.1999,38,22,1.902,6.45,1.695
DEL SCT,000-BCD-005,1836-09,18,42,16.4268,-9,3,9.175,F2IIIp,4.719,0.358,SAO 142692,18,50,58.5088,-9,46,26.744,5.827,0.605,SAO 142557,18,43,51.2342,-6,49,5.227,6.306,-0.247
V3879 SGR,000-BCX-086,1837-19,18,42,55.0993,-19,17,3.154,M4III,6.32,1.731,HR 7046,18,46,20.6087,-22,23,31.834,5.382,1.615,HR 7038,18,45,18.6581,-21,0,5.815,6.356,0.116
NSV 11271,000-BDB-913,1840+39,18,43,16.5705,39,18,0.239,K5,6.446,1.59,SAO 47909,18,54,52.1771,41,36,9.801,5.443,1.042,SAO 47922,18,55,35.7177,42,3,37.01,6.5,0.548
V4405 SGR,000-BCX-110,1840-19,18,46,1.1469,-19,36,22.884,M2/M3III,6.42,1.65,HR 7046,18,46,20.6087,-22,23,31.834,5.382,1.615,HR 7038,18,45,18.6581,-21,0,5.815,6.356,0.035
CX DRA,000-BCD-274,1844+52,18,46,43.088,52,59,16.657,B2.5Ve,5.905,-0.079,SAO 31133,18,43,29.0135,53,52,18.361,6.205,0.075,SAO 31032,18,32,11.3789,52,6,55.932,6.566,-0.154
R SCT,000-BCD-304,1842-05,18,47,28.9503,-5,42,18.529,K0Ibpv,5.162,1.447,HR 7083,18,49,40.9553,-5,54,46.305,5.959,1.626,SAO 142598,18,46,2.0861,-6,15,7.292,7.864,-0.179
R LYR,000-BCD-657,1852+43,18,55,20.1013,43,56,45.919,M5III,4.042,1.588,SAO 47909,18,54,52.1771,41,36,9.801,5.443,1.042,SAO 47922,18,55,35.7177,42,3,37.01,6.5,0.546
NSV 11536,000-BCD-669,1850+06,18,55,27.4459,6,36,55.043,G9III,5.571,1.04,SAO 124112,18,58,23.705,6,14,23.744,6.205,0.465,SAO 123928,18,48,2.6654,4,14,29.119,6.2,0.575
14 AQL,000-BCF-061,1842-05 B,19,2,54.5,-3,41,56,A1V,5.421,-0.002,HD 182835,19,26,31.1,0,20,19,4.660,0.593,HD 173370,18,44,49.9,2,3,36,5.016,-0.595
DEL CYG,000-BCH-807,,19,44,58.5,45,7,51,B9.5IV,2.868,-0.027,HD 192514,20,13,18.1,46,48,56,4.820,0.100,HD 186155,19,40,50.2,45,31,30,5.066,-0.127
V1427 AQL,000-BDF-752,,19,13,58.6,0,7,32,F7I,8.19,1.5,HD 180028,19,14,44.7,6,2,55,6.934,0.831,HD 181122,19,18,52.7,9,37,5,6.311,0.669
V2365 CYG,000-BCG-651,1921+50M,19,24,14.7407,50,15,19.537,A5,9.323,0.312,SAO 31586,19,20,31.4686,50,20,24.811,7.333,1.547,SAO 31737,19,31,19.3315,50,18,24.141,5.532,-1.235
NSV 12191,000-BCH-256,,19,36,42.20,-24,53,0,B9,4.596,-0.072,HD 182369,19,25,16.5,-24,30,38,5.023,0.237,HD 181240,19,20,38.1,-22,24,9,5.594,-0.309
NSV 12275,000-BCH-526,,19,40,43.4,-16,17,35.8,K1III,5.300,1.126,HD 186185,19,43,33.5,-15,28,12,5.496,0.460,HD 180540,19,17,38.1,-18,57,10,4.921,0.666
CH CYG,000-BCG-667,1921+50,19,24,33.0681,50,14,29.128,M7IIIv,6.584,0.909,SAO 31586,19,20,31.4686,50,20,24.811,7.333,1.547,SAO 31737,19,31,19.3315,50,18,24.141,5.532,-0.638
V1143 CYG,000-BCH-371,1936+54,19,38,41.1,54,58,26,F6Va,5.854,0.444,HD 185395,19,36,26.5,50,13,16,4.512,0.404,HD 184006,19,29,42.4,51,43,47,3.79,0.04
V973 CYG,000-BCH-803,1941+40,19,44,49.0405,40,43,0.492,M4III,6.332,1.626,SAO 68897,19,48,44.0747,39,54,59.945,7.014,0.405,SAO 68909,19,49,27.5043,38,42,36.538,6.107,1.221
KHI CYG,000-BCJ-205,1946+32,19,50,33.922,32,54,50.61,S...,6.09,1.916,SAO 69116,19,56,18.3719,35,5,0.325,3.886,1.027,SAO 68637,19,39,22.6056,30,9,11.956,4.696,0.889
NSV 24912,000-BCJ-270,,19,51,1.6,10,24,57,F8V,5.118,0.551,HD 188310,19,54,14.9,8,27,41,4.704,1.046,HD 185018,19,36,52.5,11,16,24,5.978,-0.495
V395 VUL,000-BCJ-273,1946+22,19,51,4.1084,22,36,36.167,B2.5Ve,4.933,-0.158,SAO 87883,19,53,27.6954,24,4,46.61,4.575,-0.053,SAO 104990,19,34,34.8963,19,46,24.25,5.001,-0.105
EPS PAV,000-BDC-167,1949-73,20,0,35.6,-72,54,38,A0V,3.952,-0.027,HD 200525,21,9,22.5,-73,10,22,5.671,0.588,HD 172555,18,45,26.9,-64,52,17,4.78,-0.615
NSV 12759,000-BCK-283,2000+56,20,2,58.0779,57,5,4.537,A0,7.759,0.061,SAO 32219,20,1,45.538,57,39,6.506,7.68,-0.08,SAO 32116,19,55,22.0661,58,15,0.696,6.093,0.141
V1768 CYG,000-BCK-397,2000+31,20,4,36.2,32,13,7,B1.5Ia,5.638,0.543,HD 193370,20,18,39.1,34,58,58,5.170,0.650,HD 186675,19,44,16.6,37,21,16,4.904,-0.107
V2008 CYG,000-BCK-561,2002+35B,20,6,21.7676,35,58,20.885,K0IV,5.36,0.853,SAO 69116,19,56,18.3719,35,5,0.325,3.885,1.027,SAO 69803,20,18,28.6555,36,59,59.29,5.573,-0.174
V1488 CYG,000-BCL-114,2012+47,20,15,28.3,47,42,51,K5Iab+B4IV-V,3.9,1.52,HD 190147,20,1,21.6,50,6,17,5.058,1.122,HD 192514,20,13,18,46,48,57,4.82,0.398
V695 CYG,000-BCK-989,2010+46,20,13,37.9,46,44,29,K4Iab+B4IV-V,3.8,1.270,HD 185395,19,36,26.5,50,13,16,4.480,0.383,HD 192514,20,13,18.1,46,48,56,4.83,0.887
V4434 SGR,000-BDC-249,2009-36,20,16,23.6109,-36,27,12.869,M4III,6.39,1.54,HR 7703,20,11,11.9381,-36,6,4.366,5.317,0.865,HR 7729,20,16,26.4477,-35,11,54.486,6.53,0.675
NSV 12981,000-BCL-168,2013+40,20,16,55.2855,40,21,54.27,K5Iab:,5.236,1.65,HR 7555,19,49,27.5043,38,42,36.538,6.107,0.896,HR 7568,19,50,46.873,37,49,34.768,6.079,0.754
P CYG,000-BCL-228,2014+37A,20,17,47.2018,38,1,58.549,B2pe,4.776,0.412,SAO 69101,19,55,51.7623,38,29,12.139,4.936,-0.086,SAO 69803,20,18,28.6555,36,59,59.29,5.573,0.498
NSV 13076,000-BKS-461,2020+09,20,25,44.1151,10,3,21.597,K5III,6.321,1.562,SAO 125841,20,28,7.5397,8,26,14.812,6.243,1.077,SAO 126059,20,39,7.7842,10,5,10.331,5.069,0.485
V2125 CYG,000-BCL-881,2030+34,20,33,54.2,35,15,3,K2/K6Ib+B3:V,4.606,1.593,HD 194317,20,23,51.6,32,11,25,4.434,1.330,HD 192806,20,15,46.2,27,48,51,4.517,0.263
EU DEL,000-BCM-022,2033+17B,20,37,54.7287,18,16,6.888,M6III,6.058,1.482,SAO 106396,20,41,58.1654,17,31,17.36,6.202,0.942,SAO 106253,20,34,1.2811,18,11,7.754,7.01,0.54
ALF CYG,000-BCM-159,,20,41,25.9,45,16,49,A2Iae,1.246,0.092,HD 199629,20,57,10.4,41,10,2,3.931,0.022,HD 198639,20,50,4.9,44,3,34,5.058,0.070
U DEL,000-BCM-398,2040+17,20,45,28.2354,18,5,24.122,M5Iab:,6.427,1.595,SAO 106396,20,41,58.1654,17,31,17.36,6.202,0.942,SAO 106253,20,34,1.2811,18,11,7.754,7.01,0.653
EN AQR,000-BCM-531,2042-05,20,47,44.236,-5,1,39.723,M3III,4.426,1.646,HR 7831,20,29,39.0007,-2,53,7.911,4.904,1.158,HR 7873,20,36,43.6323,-2,32,59.846,4.905,0.488
V1661 CYG,000-BCM-573,2045+45,20,48,56.3,46,6,51,B4Ia,4.824,0.400,HD 199629,20,57,10.4,41,10,2,3.931,0.022,HD 198639,20,50,4.9,44,3,34,5.058,0.378
NSV 13408,000-BCM-875,2050+13,20,55,36.69,13,43,17.529,K0III,5.188,1.12,HR 7973,20,49,37.7681,12,32,42.461,6.011,0.42,HR 8057,21,3,1.7948,14,43,48.094,6.304,0.7
NSV 13419,000-BCM-928,2051-10,20,56,54.0278,-9,41,51.161,K5III,5.492,1.47,HR 8096,21,10,46.9396,-9,21,14.666,6.274,1.155,HR 7994,20,53,5.5967,-11,34,25.172,6.373,0.315
V832 CYG,000-BCN-023 ,2056+47,20,59,49.5565,47,31,15.424,B1.5Vnne,4.756,-0.068,SAO 50713,21,19,28.7505,49,30,37.058,5.756,-0.142,SAO 50121,20,50,4.9311,44,3,33.494,5.056,0.074
NSV 13454,000-BDC-392,2055+18,21,0,27.6873,19,19,46.491,M3III,5.648,1.612,HR 7923,20,41,58.1654,17,31,17.36,6.202,0.942,HR 7914,20,40,45.1411,19,56,7.931,6.446,0.67
NSV 13518,000-BCN-174,2101+43,21,4,55.9,43,55,40,K4.5Ib-II,3.733,1.652,HD 204771,21,29,27,46,32,26,5.237,0.977,HD 205435,21,33,58.9,45,35,31,4.007,0.675
NSV 13548,000-BCN-236,,21,6,36.1,47,38,54,K4Ib-IIa,4.556,1.569,HD 204771,21,29,27.0,46,32,26,5.237,0.977,HD 205435,21,33,58.9,45,35,31,4.007,0.592
NSV 13640,000-BCM-684,,21,17,25.0,39,23,41,A0Ia,4.233,0.123,HD 199629,20,57,10.4,41,10,2,3.931,0.022,HD 198639,20,50,4.9,44,3,34,5.058,0.101
V381 CEP,000-BDL-445,,21,19,15.7,58,37,25,M1Ib,5.674,1.335,HD 202987,21,17,14.2,55,47,53,5.981,1.45,HD 203574,21,20,33.4,60,45,23,6.1,-0.115
FZ CEP,000-BCN-722,2116+55,21,19,42.7748,55,27,0.254,M6III,7.307,1.491,SAO 33287,21,17,14.247,55,47,52.804,5.981,1.45,SAO 33303,21,18,26.9325,54,10,25.566,7.431,0.041
V1070 CYG,000-BCN-832,2118+40,21,22,48.6039,40,55,57.183,M7III,7.128,1.186,SAO 71267,21,22,54.7092,38,42,30.643,7.262,1.051,SAO 71280,21,23,48.3884,37,21,5.332,6.43,0.135
V426 CEP,000-BCN-944,2124+59,21,27,25.2771,59,45,0.27,M3II-III...,6.094,1.737,HR 8197,21,24,23.1345,24,31,42.215,6.365,1.044,HR 8312,21,42,45.3671,59,16,15.04,6.077,0.693
BET CEP,000-BCN-968,2127+70,21,28,39.6,70,33,39,B2IIIev,3.233,-0.222,SAO 19432,21,27,46.14,66,48,32.74,5.43,-0.11,SAO 19646,21,47,0.85,70,9,3.18,6.45,-0.112
SX PAV,000-BCW-656,2119-69,21,28,44.9245,-69,30,19.39,M5III,5.639,1.562,HR 8081,21,11,20.9329,-72,32,39.67,6.187,1.085,HR 8061,21,9,22.4466,-73,10,22.685,5.673,0.477
W CYG,000-BCP-079,2132+44,21,36,2.4957,45,22,28.529,M4III,5.497,1.602,SAO 50934,21,29,26.9499,46,32,26.105,5.236,0.976,SAO 50824,21,25,19.5487,46,42,51.629,5.599,0.626
AB CYG,000-BCP-087,2132+31,21,36,33.8071,32,6,10.028,M4:IIIv,8.039,1.839,SAO 71539,21,37,55.5259,33,12,1.68,7.394,1.054,SAO 71514,21,36,33.0365,33,14,3.641,7.446,0.785
V337 CEP,000-BCP-103,,21,37,55.2,62,4,55,B2Ib,4.739,0.293,HD 195725,20,29,34.9,62,59,39,4.213,0.201,HD 198084,20,45,21.1,57,34,47,4.516,0.092
NSV 13834,000-BCP-115,2136+42,21,40,11.1095,43,16,25.822,M1III,5.111,1.583,HR 8228,21,29,26.9499,46,32,26.105,5.236,0.976,HR 8208,21,25,19.5487,46,42,51.629,5.599,0.607
V1339 CYG,000-BCP-188,2138+45,21,42,8.3543,45,45,56.51,M4III:,6.081,1.531,SAO 50934,21,29,26.9499,46,32,26.105,5.236,0.976,SAO 50824,21,25,19.5487,46,42,51.629,5.599,0.555
MIU CEP,000-BCP-244,2140+58,21,43,30.4609,58,46,48.166,M2Ia,4.109,2.323,SAO 33683,21,42,45.3671,59,16,15.04,6.077,1.342,SAO 33657,21,40,32.4477,59,45,9.916,6.88,0.981
EPS PEG,000-BCW-746,2139+09,21,44,11.2,9,52,30,K2Ib,2.387,1.524,HD 210461,22,10,22,14,37,48,6.33,1.08,HD 208565,21,56,56.4,12,4,36,5.541,0.444
NIU CEP,000-BCP-307,,21,45,26.9,61,7,15,A2Ia,4.289,0.518,HD 203280,21,18,34.8,62,35,8,2.459,0.217,HD 198084,20,45,21.1,57,34,47,4.516,0.301
VV CEP,000-BCP-658,2153+63,21,56,39.1,63,37,32,M2Iabe+B0/2Ve,4.937,1.752,HD 216228,22,49,40.8,66,12,2,3.517,1.055,HD 210939,22,12,2.1,60,45,33,5.355,0.697
DM CEP,000-BCQ-016,2206+72,22,8,16.4471,72,46,6.656,M3,6.95,1.93,HD 204624,21,24,24.6,75,58,18,7.225,1.084,SAO 19986,22,17,32.2001,70,3,32.14,7.22,0.846
ZET CEP,000-BCQ-066,,22,10,51.3,58,12,5,K1Ibv,3.354,1.566,HD 210939,22,12,2,60,45,33,5.355,1.169,HD 210855,22,11,48.8,56,50,22,5.253,0.397
BO OCT,000-BDW-549,2208-80,22,20,1.6781,-80,26,23.089,M5III,5.097,1.47,HR 8577,22,35,26.5248,-78,46,17.706,6.137,1.371,HR 8471,22,17,50.5952,-77,30,41.592,5.498,0.099
RW CEP,000-BCQ-372,2219+55A,22,23,7.0163,55,57,47.628,K2...,6.626,2.275,SAO 34256,22,16,26.5637,57,13,12.858,5.878,0.941,SAO 34338,22,20,38.7697,58,24,35.656,6.479,1.334
DEL CEP,000-BCQ-471,2225+57,22,29,10.2663,58,24,54.715,F5Iab:,3.599,0.482,SAO 34256,22,16,26.5637,57,13,12.858,5.877,0.943,SAO 34605,22,35,51.9938,56,4,14.067,6.381,-0.461
V412 LAC,000-BDC-569,2225+47,22,29,31.8222,47,42,24.792,M0II+...,4.361,1.679,HR 8632,22,40,30.8591,44,16,34.698,4.485,1.317,HR 8656,22,44,5.479,41,49,9.245,5.114,0.362
NIU TUC,000-BDC-576,2226-62,22,33,0.0633,-61,58,55.639,M4III,4.859,1.605,HR 8531,22,24,56.3905,-57,47,50.695,5.311,0.665,HR 8620,22,40,48.9182,-57,25,20.359,5.97,0.94
NSV 14213,000-BCQ-525,2229+56,22,33,40.6499,56,37,29.053,K0III,5.707,0.965,SAO 34605,22,35,51.9938,56,4,14.067,6.381,0.097,HD 209992,22,05,58.6,53,37,24,6.97,0.868
IM PEG,000-BCQ-907,2248+16,22,53,2.2659,16,50,28.298,K1.5II-IIIe,5.645,1.118,SAO 108242,22,54,18.0872,17,47,41.985,6.56,1.04,SAO 108400,23,6,18.1402,18,31,3.955,6.157,0.078
LAM AQR,000-BDD-589,2247-08,22,53,36.8759,-7,34,46.557,M2III,3.742,1.64,HR 8841,23,15,53.4947,-9,5,15.853,4.231,1.107,HR 8610,22,37,45.381,-4,13,41.001,5.036,0.533
V424 LAC,000-BCQ-986,2252+49,22,56,26.0,49,44,01,K5Ib,4.969,1.773,HD 218031,23,04,11.0,50,03,08,4.657,1.059,HD 219080,23,12,33.0,49,24,22,4.527,0.714
EW LAC,000-BCR-002,2252+48,22,57,4.5023,48,41,2.645,B3IVpe,5.276,-0.101,SAO 52713,23,7,45.3841,49,17,44.793,5.68,0.417,SAO 52707,23,7,18,46,4,5.337,6.661,-0.518
51 PEG,000-BDC-616,2252+20,22,57,28,20,46,8,G2.5IVa,5.467,0.655,HD 218235,23,6,18.1,18,31,4,6.157,0.441,HD 215510,22,45,28.2,19,22,0,6.255,0.214
V509 CAS,000-BCR-088,2255+56,23,0,5.1007,56,56,43.346,G0Iab:,5.043,1.413,HD 219134,23,13,17.0,57,10,6,5.567,0.994,HD 223165,23,47,3.5,58,39,7,4.869,0.419
OMI AND,000-BCR-111,2257+41,23,1,55.2643,42,19,33.525,B6IIIpe+...,3.622,-0.104,SAO 72575,22,39,15.6787,39,3,0.969,4.88,-0.203,SAO 72883,22,57,40.7385,39,18,31.596,6.177,0.099
