Star	R.A. (2000.0)	Decl (2000.0)	V	B-V	U-B
26 UMa	9.5804	52.0513	4.50	0.00	0.04
21 LMi	10.1238	35.2447	4.49	0.19	0.07
ome UMa	10.8849	43.1900	4.71	-0.05	-0.06
60 Leo	11.0388	20.1801	4.41	0.04	0.04
69 Leo	11.2293	-0.0695	5.42	-0.02	-0.05
sig Leo	11.3523	6.0293	4.06	-0.07	-0.12
55 UMa	11.3188	38.1852	4.79	0.12	0.03
4 Vir	11.7986	8.2460	5.31	0.02	0.04
7 Vir	11.9991	3.6552	5.36	0.00	0.00
pi Vir	12.0146	6.6143	4.67	0.13	0.10
23 Com	12.5808	22.6294	4.81	0.00	-0.01
HD 109860	12.6346	3.1824	6.32	0.01	0.01
rho Vir	12.6981	10.2356	4.88	0.09	0.05
HD 115709	13.3142	3.6876	6.62	0.06	0.02
HD 116160	13.3616	2.0872	5.70	0.05	0.02
80 UMa	13.4205	54.9879	4.03	0.15	0.09
24 CVn	13.5742	49.0161	4.70	0.12	0.11
tau Vir	14.0275	1.5444	4.27	0.09	0.14
HD 140775	15.7565	5.4473	5.58	0.04	0.03
pi Ser	16.0383	22.8046	4.83	0.07	0.05
15 Dra	16.4664	68.7681	5.01	-0.06	-0.10
sig Her	16.5684	42.4374	4.20	-0.02	-0.10
60 Her	17.0897	12.7408	4.91	0.12	0.06
69 Her	17.2945	37.2919	4.66	0.05	-0.03
68 Oph	18.0292	1.3051	4.42	0.04	0.02
del Umi	17.5370	86.5868	4.35	0.01	0.04
39 Dra	18.3985	58.8011	4.98	0.08	0.05
111 Her	18.7837	18.1822	4.36	0.13	0.07
HD 174240	18.8270	0.8362	6.24	0.03	0.01
HD 180782	19.2967	2.0317	6.18	0.01	0.01
pi Dra	19.3445	65.7148	4.59	0.02	0.06
zet Sge	19.8163	19.1422	5.00	0.10	0.06
13 Vul	19.8910	24.0796	4.58	-0.06	-0.13
rho Aql	20.2380	15.1979	4.95	0.09	0.01
30 Cyg	20.2217	46.8157	4.82	0.10	0.14
29 Cyg	20.2417	36.8000	4.99	0.12	0.00
33 Cyg	20.2233	56.5682	4.30	0.11	0.08
HD 195922	20.5649	10.0598	6.56	0.08	0.05
zet Del	20.5885	14.8091	4.69	0.11	0.11
29 Vul	20.6421	21.2012	4.82	-0.02	-0.07
6 Equ	21.1754	10.0490	6.07	0.02	0.04
3 Peg	21.6288	6.6184	6.20	0.02	0.01
11 Peg	21.7872	2.6861	5.64	0.00	-0.01
omi Peg	22.6960	29.3075	4.79	-0.01	0.00
HD 119537	13.7317	-5.4989	6.52	0.04	0.02
HD 124931	14.2750	-3.1963	6.14	0.00	-0.01
psi Cen	14.3426	-37.8853	4.04	-0.03	-0.11
HD 129685	14.7498	-35.1918	4.92	0.02	-0.04
bet Cir	15.2919	-58.8012	4.06	0.09	0.08
HD 137058	15.4223	-38.7336	4.60	0.00	-0.07
50 Lib	16.0132	-8.4114	5.55	0.04	-0.04
psi Sco	16.2000	-10.0641	4.92	0.09	0.10
HD 146624	16.3050	-28.6140	4.77	0.02	-0.01
nu Ser	17.3471	-12.8469	4.31	0.03	0.03
51 Oph	17.5236	-23.9626	4.81	0.00	-0.07
omi Ser	17.6902	-12.8753	4.24	0.08	0.10
gam Sct	18.4866	-14.5658	4.71	0.07	0.04
HD 171149	18.5563	-5.9117	6.36	0.02	-0.05
14 Aql	19.0485	-3.6990	5.42	0.00	-0.07
alf Cra	19.1579	-37.9045	4.12	0.04	0.07
52 Sgr	19.6118	-24.8836	4.59	-0.06	-0.12
nu Cap	20.3444	-12.7591	4.76	-0.04	-0.11
BS458	1.6133	41.4042	4.10	0.54	0.00
BS477	1.6764	40.5772	4.94	-0.09	0.00
BS483	1.6964	42.6128	4.96	0.62	0.00
